JAPONICA NIPPONBARE POSITIONS	ASSAY ID	ACCESSION	SUBPOPULATION
MAMORIAKA::IRGC 68672-1::[IRIS 313-9732]	IRIS 313-9732	IRGC 125833	ind2
GENIT::IRGC 3272-1::[IRIS 313-9778]	IRIS 313-9778	IRGC 125751	admix
HD 10::IRGC 6638-1::[IRIS 313-9795]	IRIS 313-9795	IRGC 125759	ind2
QUERO ASSAN::IRGC 28860-1::[IRIS 313-9898]	IRIS 313-9898	IRGC 125880	ind3
KULA KARUPPAN::IRGC 55328-1::[IRIS 313-9968]	IRIS 313-9968	IRGC 125810	indx
KITRANA 1007::IRGC 68517-1::[IRIS 313-10026]	IRIS 313-10026	IRGC 125804	ind2
FACAGRO 64::IRGC 82059-1::[IRIS 313-10114]	IRIS 313-10114	IRGC 125739	ind2
RD 19::IRGC 39174-1::[IRIS 313-10147]	IRIS 313-10147		ind3
HE GU TSAO::IRGC 51302-1::[IRIS 313-10154]	IRIS 313-10154	IRGC 125760	ind1A
MEI FENG 9::IRGC 63735-1::[IRIS 313-10168]	IRIS 313-10168	IRGC 125836	indx
BAI HE::IRGC 76438-1::[IRIS 313-10211]	IRIS 313-10211	IRGC 125669	ind1A
ARC 15091::IRGC 43048-1::[IRIS 313-8332]	IRIS 313-8332	IRGC 126298	indx
DHANE BURWA::IRGC 10105-1::[IRIS 313-8530]	IRIS 313-8530	IRGC 126199	ind2
DHOLA AMAN (LOWLAND AMAN)::IRGC 8341-1::[IRIS 313-9156]	IRIS 313-9156	IRGC 126200	ind2
ROJOFOTSY::IRGC 69402-1::[IRIS 313-9740]	IRIS 313-9740	IRGC 126083	ind2
URAIBOOL::IRGC 52785-1::[IRIS 313-8305]	IRIS 313-8305	IRGC 126289	ind2
KHAO PRAHJIN::IRGC 64420-1::[IRIS 313-8702]	IRIS 313-8702		ind3
HAWM TOONG::IRGC 48007-1::[IRIS 313-8722]	IRIS 313-8722		ind3
LEUANG AWN::IRGC 48257-1::[IRIS 313-8785]	IRIS 313-8785		ind3
IRAT 118::IRGC 55785-1::[IRIS 313-9978]	IRIS 313-9978		aro
WIR 1391::IRGC 51605-1::[IRIS 313-9963]	IRIS 313-9963		aus
IR 73690-7-2-1-1-3-2-2-1::IRGC 117384-1::[IRIS 313-10380]	IRIS 313-10380	IRGC 125981	aus
KAMJA::IRGC 62171-1::[IRIS 313-8302]	IRIS 313-8302	IRGC 126116	admix
BANJANG::IRGC 44069-1::[IRIS 313-8626]	IRIS 313-8626	IRGC 126045	trop
TAI 6::IRGC 69058-1::[IRIS 313-8739]	IRIS 313-8739	IRGC 126090	admix
E WAWNG::IRGC 71140-1::[IRIS 313-8884]	IRIS 313-8884	IRGC 126134	subtrop
LEKATAN::IRGC 71554-1::[IRIS 313-8894]	IRIS 313-8894	IRGC 126070	trop
LASAT PUTIH::IRGC 44076-1::[IRIS 313-8955]	IRIS 313-8955	IRGC 126231	trop
SERIBU::IRGC 71615-1::[IRIS 313-8987]	IRIS 313-8987		indx
AGUYOD::IRGC 67423-1::[IRIS 313-9423]	IRIS 313-9423	IRGC 125635	trop
SIFARASI::IRGC 66644-1::[IRIS 313-9691]	IRIS 313-9691	IRGC 126311	trop
PADI SEPAH::IRGC 48803-1::[IRIS 313-8865]	IRIS 313-8865	IRGC 126345	trop
LEK::IRGC 40199-1::[IRIS 313-8911]	IRIS 313-8911		admix
SIGAE::IRGC 66645-1::[IRIS 313-8998]	IRIS 313-8998		trop
PLUS::GERVEX 122-C1::[IRIS 313-8046]	IRIS 313-8046	IRGC 122205	trop
A 201::GERVEX 1638-C1::[IRIS 313-8173]	IRIS 313-8173	IRGC 121959	trop
FRAGANCE::GERVEX 1651-C1::[IRIS 313-8184]	IRIS 313-8184	IRGC 122050	admix
DAWN CI 9534::GERVEX 481-C1::[IRIS 313-8073]	IRIS 313-8073	IRGC 122033	aus
VARY LAVA DE MAROVATO::GERVEX 8396-C1::[IRIS 313-7799]	IRIS 313-7799	IRGC 124428	ind2
TSIPALA B 160::GERVEX 8378-C1::[IRIS 313-7793]	IRIS 313-7793	IRGC 124426	ind2
MAMORIAKA 114::GERVEX 5176-C1::[IRIS 313-7728]	IRIS 313-7728	IRGC 122159	ind2
LAITRA::GERVEX 8400-C1::[IRIS 313-7720]	IRIS 313-7720	IRGC 124405	ind2
BOTRA MAITSO::GERVEX 8389-C1::[IRIS 313-7651]	IRIS 313-7651	IRGC 121990	ind2
BOTOHAVANA 139::GERVEX 8237-C1::[IRIS 313-7650]	IRIS 313-7650	IRGC 124380	ind2
BETSILAIZINA::GERVEX 8405-C1::[IRIS 313-7646]	IRIS 313-7646	IRGC 124378	admix
ROJOKELY::GERVEX 8410-C1::[IRIS 313-7758]	IRIS 313-7758	IRGC 122220	ind2
FIDJI::GERVEX 1636-C1::[IRIS 313-8172]	IRIS 313-8172	IRGC 122048	admix
TUNAGANNAPNANG::IRGC 52046-1::[IRIS 313-11447]	IRIS 313-11447	IRGC 128492	indx
KODIA PHUL::IRGC 52168-1::[IRIS 313-11449]	IRIS 313-11449	IRGC 127526	indx
KALISAL::IRGC 52324-1::[IRIS 313-11451]	IRIS 313-11451	IRGC 128330	aro
LOCAL BHAT::IRGC 52343-1::[IRIS 313-11452]	IRIS 313-11452	IRGC 127571	aus
BARI SUTAR::IRGC 52410-1::[IRIS 313-11454]	IRIS 313-11454	IRGC 127211	aus
KOLAMBA::IRGC 52456-1::[IRIS 313-11456]	IRIS 313-11456	IRGC 127528	aus
SELHI::IRGC 52760-1::[IRIS 313-11460]	IRIS 313-11460	IRGC 127792	ind2
VAIKATHARYAN::IRGC 52805-1::[IRIS 313-11461]	IRIS 313-11461	IRGC 127881	ind2
SALSI::IRGC 52833-1::[IRIS 313-11462]	IRIS 313-11462	IRGC 127780	aus
KALIPINCH::IRGC 53271-1::[IRIS 313-11476]	IRIS 313-11476	IRGC 128329	aus
KANPURI::IRGC 53278-1::[IRIS 313-11477]	IRIS 313-11477	IRGC 127489	aus
BINNAFUL::IRGC 53479-1::[IRIS 313-11481]	IRIS 313-11481	IRGC 127228	aus
BONGEZA::IRGC 53483-1::[IRIS 313-11482]	IRIS 313-11482	IRGC 127234	aus
BOTESHSHORE::IRGC 53484-1::[IRIS 313-11483]	IRIS 313-11483	IRGC 128244	aus
EJALI::IRGC 53500-1::[IRIS 313-11484]	IRIS 313-11484	IRGC 127357	aus
LALDIGHA::IRGC 53541-1::[IRIS 313-11487]	IRIS 313-11487	IRGC 128358	ind2
KALU T 139::IRGC 53670-1::[IRIS 313-11489]	IRIS 313-11489	IRGC 127482	aus
SIRHANTI::IRGC 53930-1::[IRIS 313-11492]	IRIS 313-11492	IRGC 127813	aus
