JAPONICA NIPPONBARE POSITIONS	ASSAY ID	ACCESSION	SUBPOPULATION
UPRH 33::IRGC 61505-1::[IRIS 313-11617]	IRIS 313-11617	IRGC 128495	aus
UPRH 58::IRGC 61525-1::[IRIS 313-11618]	IRIS 313-11618	IRGC 127879	aus
UPRH 166::IRGC 61615-1::[IRIS 313-11619]	IRIS 313-11619	IRGC 127875	aus
UPRH 197::IRGC 61641-1::[IRIS 313-11620]	IRIS 313-11620	IRGC 127876	aus
CHOBO::IRGC 61930-1::[IRIS 313-11625]	IRIS 313-11625	IRGC 127281	aro
JADO::IRGC 61966-1::[IRIS 313-11627]	IRIS 313-11627	IRGC 127448	aro
LATIJHABAR::IRGC 61991-1::[IRIS 313-11629]	IRIS 313-11629	IRGC 127554	aus
POHHERLIMASION::IRGC 62025-1::[IRIS 313-11630]	IRIS 313-11630	IRGC 127737	aro
SETO JHINUWA::IRGC 62043-1::[IRIS 313-11632]	IRIS 313-11632	IRGC 128466	aro
GAM PERNG::IRGC 62135-1::[IRIS 313-11635]	IRIS 313-11635	IRGC 128294	ind3
NCS 271 A::IRGC 62216-1::[IRIS 313-11636]	IRIS 313-11636	IRGC 127654	aus
NCS 599::IRGC 62373-1::[IRIS 313-11642]	IRIS 313-11642	IRGC 127661	ind2
NCS 603 B::IRGC 62377-1::[IRIS 313-11643]	IRIS 313-11643	IRGC 127662	ind1B
NCS 745::IRGC 62466-1::[IRIS 313-11644]	IRIS 313-11644	IRGC 127663	ind2
B 3913 B 16-20 ST 28::IRGC 63099-1::[IRIS 313-11656]	IRIS 313-11656	IRGC 127196	indx
MARHARORA::IRGC 63511-1::[IRIS 313-11663]	IRIS 313-11663	IRGC 128383	admix
JIN HUA 258::IRGC 63670-1::[IRIS 313-11665]	IRIS 313-11665	IRGC 127464	ind1A
DERAWA::IRGC 64106-1::[IRIS 313-11671]	IRIS 313-11671	IRGC 127313	ind2
BEUA KAE::IRGC 64221-1::[IRIS 313-11674]	IRIS 313-11674	IRGC 131971	ind3
PLAWNG SAENG::IRGC 64595-1::[IRIS 313-11685]	IRIS 313-11685	IRGC 127735	ind3
QUAHNG LUANG::IRGC 64609-2::[IRIS 313-11686]	IRIS 313-11686	IRGC 132366	ind3
TAIPEI 167::IRGC 65371-1::[IRIS 313-11698]	IRIS 313-11698	IRGC 128479	aro
RAI MAHK MEUANG::IRGC 66154-1::[IRIS 313-11711]	IRIS 313-11711	IRGC 132295	ind3
GORA DHAN 2::IRGC 66269-1::[IRIS 313-11712]	IRIS 313-11712	IRGC 127389	aus
CHAMPION::IRGC 66327-1::[IRIS 313-11714]	IRIS 313-11714	IRGC 127256	indx
SOSSOKA::IRGC 66478-1::[IRIS 313-11716]	IRIS 313-11716	IRGC 127822	ind3
DAWK PUT::IRGC 66699-1::[IRIS 313-11719]	IRIS 313-11719	IRGC 127304	ind3
DAW 85::IRGC 66704-1::[IRIS 313-11720]	IRIS 313-11720	IRGC 127302	ind3
HONG YANG ZAO 3::IRGC 67177-1::[IRIS 313-11727]	IRIS 313-11727	IRGC 127416	ind1A
CHUNDI::IRGC 67486-1::[IRIS 313-11737]	IRIS 313-11737	IRGC 127283	aus
PAUNDRI::IRGC 67527-1::[IRIS 313-11738]	IRIS 313-11738	IRGC 127720	ind2
KALIBAJARI::IRGC 67718-1::[IRIS 313-11742]	IRIS 313-11742	IRGC 127480	aus
M 6034-1::IRGC 68193-1::[IRIS 313-11752]	IRIS 313-11752	IRGC 127584	ind1A
XIANG CHANG ZAO::IRGC 68268-1::[IRIS 313-11753]	IRIS 313-11753	IRGC 127894	ind1A
AMBOHIMANDAY::IRGC 68330-1::[IRIS 313-11754]	IRIS 313-11754	IRGC 128214	admix
MENAHARA 505::IRGC 68709-1::[IRIS 313-11760]	IRIS 313-11760	IRGC 127623	ind2
TSIMIAKABIJA::IRGC 69074-1::[IRIS 313-11766]	IRIS 313-11766	IRGC 128490	admix
ROJON'NY NTAOLO::IRGC 69410-1::[IRIS 313-11772]	IRIS 313-11772	IRGC 128452	ind2
MALAGASY::IRGC 69717-1::[IRIS 313-11782]	IRIS 313-11782	IRGC 128376	ind2
VARY LAHY::IRGC 69908-1::[IRIS 313-11791]	IRIS 313-11791	IRGC 127885	ind2
JIE CAO ZHAN::IRGC 70305-1::[IRIS 313-11802]	IRIS 313-11802	IRGC 127460	ind1A
MHARAKA::IRGC 70612-1::[IRIS 313-11809]	IRIS 313-11809	IRGC 128387	aus
TSIPALA MENAHAR::IRGC 69979-1::[IRIS 313-11794]	IRIS 313-11794	IRGC 127867	ind2
DHANIYA PHOOL::IRGC 70811-1::[IRIS 313-11824]	IRIS 313-11824	IRGC 127317	ind2
HANSRAJ::IRGC 70836-1::[IRIS 313-11825]	IRIS 313-11825	IRGC 135753	aro
HIRA NAKHI::IRGC 70840-1::[IRIS 313-11826]	IRIS 313-11826	IRGC 128309	aro
AE WAWNG POO DOO::IRGC 71007-1::[IRIS 313-11832]	IRIS 313-11832	IRGC 131964	subtrop
BUENG MONG LENG WE::IRGC 71088-1::[IRIS 313-11834]	IRIS 313-11834	IRGC 128246	subtrop
TON TIA GUAY NU::IRGC 71467-1::[IRIS 313-11846]	IRIS 313-11846	IRGC 132048	subtrop
E ZI 32::IRGC 70127-1::[IRIS 313-11797]	IRIS 313-11797	IRGC 128289	ind1A
PHIT CHZK::IRGC 73317-1::[IRIS 313-11897]	IRIS 313-11897	IRGC 128431	subtrop
BUAGKOG::IRGC 74318-1::[IRIS 313-11913]	IRIS 313-11913	IRGC 128245	trop
BUTNAPAR::IRGC 74734-1::[IRIS 313-11917]	IRIS 313-11917	IRGC 127241	aus
SI NAM PUENG::IRGC 75165-1::[IRIS 313-11926]	IRIS 313-11926	IRGC 128472	subtrop
SINDANO 3::IRGC 75279-1::[IRIS 313-11932]	IRIS 313-11932	IRGC 127808	ind2
MALIKULI::IRGC 76237-1::[IRIS 313-11945]	IRIS 313-11945	IRGC 127598	ind2
QI YUE ZHAN::IRGC 76722-1::[IRIS 313-11952]	IRIS 313-11952	IRGC 127756	ind1A
HO MOK::IRGC 73171-1::[IRIS 313-11892]	IRIS 313-11892	IRGC 135754	subtrop
BUNTU DOMBA 1::IRGC 77554-1::[IRIS 313-11970]	IRIS 313-11970	IRGC 127240	trop
CHAO LAO SOUNG::IRGC 78799-1::[IRIS 313-11992]	IRIS 313-11992	IRGC 127266	ind3
PORASHI::IRGC 78397-1::[IRIS 313-11982]	IRIS 313-11982	IRGC 127739	aus
ADUKKAN::IRGC 81783-1::[IRIS 313-12052]	IRIS 313-12052	IRGC 127109	indx
XIENG KANG::IRGC 82533-1::[IRIS 313-12063]	IRIS 313-12063	IRGC 132303	subtrop
YERI BUTUKA::IRGC 82591-1::[IRIS 313-12065]	IRIS 313-12065	IRGC 127903	admix
PULUT KETAN::IRGC 82674-2::[IRIS 313-12068]	IRIS 313-12068	IRGC 132262	trop
PULUT MAS::IRGC 82676-1::[IRIS 313-12069]	IRIS 313-12069	IRGC 128438	trop
MAVOLATSIKA::IRGC 83137-1::[IRIS 313-12082]	IRIS 313-12082	IRGC 127614	ind2
SARIN TSIPALA::IRGC 83154-1::[IRIS 313-12083]	IRIS 313-12083	IRGC 128460	ind2
KASHA::IRGC 83865-1::[IRIS 313-12094]	IRIS 313-12094	IRGC 127496	aro
OVIBENAMPOTAKA + OVIBE + MAKALIOKA::IRGC 84756-1::[IRIS 313-12118]	IRIS 313-12118	IRGC 127691	ind2
CHA LIENG::IRGC 84920-1::[IRIS 313-12121]	IRIS 313-12121	IRGC 127254	ind3
YOI::IRGC 82855-1::[IRIS 313-12077]	IRIS 313-12077	IRGC 127906	subtrop
MON LAI::IRGC 85857-1::[IRIS 313-12129]	IRIS 313-12129	IRGC 128391	subtrop
KHAO PA::IRGC 85972-1::[IRIS 313-12130]	IRIS 313-12130	IRGC 127559	ind3
THATENG::IRGC 86377-1::[IRIS 313-12134]	IRIS 313-12134	IRGC 135802	subtrop
MANSARA DHAN::IRGC 86940-1::[IRIS 313-12139]	IRIS 313-12139	IRGC 127604	aus
HATEA::IRGC 86973-1::[IRIS 313-12141]	IRIS 313-12141	IRGC 132399	aus
NYAULI::IRGC 88628-1::[IRIS 313-12182]	IRIS 313-12182	IRGC 127686	indx
SETYA::IRGC 88654-1::[IRIS 313-12183]	IRIS 313-12183	IRGC 127796	aus
CHAO DO::IRGC 89430-1::[IRIS 313-12188]	IRIS 313-12188	IRGC 127260	ind3
DO NOUAN::IRGC 89648-1::[IRIS 313-12193]	IRIS 313-12193	IRGC 127341	ind3
NOON SOUNG::IRGC 91956-1::[IRIS 313-12224]	IRIS 313-12224	IRGC 127681	ind3
PA LAT NGAN::IRGC 91983-1::[IRIS 313-12225]	IRIS 313-12225	IRGC 127711	ind3
SET::IRGC 92200-1::[IRIS 313-12227]	IRIS 313-12227	IRGC 127795	subtrop
LAOZAOGU::IRGC 93444-1::[IRIS 313-12236]	IRIS 313-12236	IRGC 127552	ind1A
WUGU::IRGC 93479-1::[IRIS 313-12237]	IRIS 313-12237	IRGC 127893	ind1A
A MOUK::IRGC 94474-1::[IRIS 313-12252]	IRIS 313-12252	IRGC 128215	subtrop
EA NOUAN::IRGC 95147-1::[IRIS 313-12259]	IRIS 313-12259	IRGC 127352	ind3
VARY GONY::IRGC 97308-2::[IRIS 313-12284]	IRIS 313-12284	IRGC 128200	ind2
PADI MIAT (KECIL)::IRGC 97366-1::[IRIS 313-12285]	IRIS 313-12285	IRGC 135576	trop
MUANG TAY::IRGC 98382-1::[IRIS 313-12299]	IRIS 313-12299	IRGC 136100	subtrop
CHAO PEE::IRGC 106767-1::[IRIS 313-12330]	IRIS 313-12330	IRGC 127267	subtrop
DO KHAW::IRGC 106977-1::[IRIS 313-12334]	IRIS 313-12334	IRGC 127334	ind3
MEE::IRGC 107773-1::[IRIS 313-12352]	IRIS 313-12352	IRGC 127621	subtrop
FORTUNA COLORADO::IRGC 703-1::[IRIS 313-10444]	IRIS 313-10444	IRGC 127371	trop
CI 7061::IRGC 968-1::[IRIS 313-10449]	IRIS 313-10449	IRGC 128264	ind1A
MOROPOTOL::IRGC 3909-1::[IRIS 313-10489]	IRIS 313-10489	IRGC 127630	trop
ADT 22::IRGC 5901-1::[IRIS 313-10519]	IRIS 313-10519	IRGC 135733	ind2
NATURAL HYBRID C 33-8::IRGC 5929-1::[IRIS 313-10520]	IRIS 313-10520		indx
HR 22::IRGC 6394-1::[IRIS 313-10531]	IRIS 313-10531	IRGC 128310	admix
D 204-1::IRGC 6445-1::[IRIS 313-10534]	IRIS 313-10534	IRGC 127290	aus
SANNABATHA::IRGC 5971-1::[IRIS 313-10521]	IRIS 313-10521		aro
DODGUI::IRGC 6666-1::[IRIS 313-10543]	IRIS 313-10543	IRGC 128281	aus
DONGREM::IRGC 6688-1::[IRIS 313-10544]	IRIS 313-10544	IRGC 127340	ind2
RATUA 81::IRGC 6829-1::[IRIS 313-10549]	IRIS 313-10549	IRGC 132039	aus
PTB 18::IRGC 6105-1::[IRIS 313-10523]	IRIS 313-10523	IRGC 135786	indx
PARAY QIKUG KABAYUH::IRGC 8059-1::[IRIS 313-10578]	IRIS 313-10578	IRGC 132028	trop
DJ 69::IRGC 8482-1::[IRIS 313-10592]	IRIS 313-10592	IRGC 127324	aus
DJ 47::IRGC 8497-1::[IRIS 313-10593]	IRIS 313-10593	IRGC 127323	aus
DJ 29::IRGC 8505-1::[IRIS 313-10594]	IRIS 313-10594	IRGC 127322	aus
DL 5::IRGC 8593-1::[IRIS 313-10595]	IRIS 313-10595	IRGC 127327	aus
DD 126::IRGC 8667-1::[IRIS 313-10598]	IRIS 313-10598	IRGC 128273	aus
UCP 41::IRGC 8742-1::[IRIS 313-10600]	IRIS 313-10600	IRGC 128493	aus
DM 49::IRGC 8775-1::[IRIS 313-10602]	IRIS 313-10602	IRGC 127329	aus
UCP 122::IRGC 8794-1::[IRIS 313-10603]	IRIS 313-10603	IRGC 127871	aus
DV 2::IRGC 8806-1::[IRIS 313-10604]	IRIS 313-10604	IRGC 127347	aus
DV 86::IRGC 8840-1::[IRIS 313-10605]	IRIS 313-10605	IRGC 127348	aus
T 21::IRGC 8892-1::[IRIS 313-10608]	IRIS 313-10608	IRGC 127832	aus
SIDALI::IRGC 9567-1::[IRIS 313-10623]	IRIS 313-10623	IRGC 127804	aus
PHOU SAO LEUM NYANG::IRGC 11570-2::[IRIS 313-10651]	IRIS 313-10651	IRGC 128134	indx
MAK KHEUA::IRGC 11628-1::[IRIS 313-10653]	IRIS 313-10653		subtrop
LEP HED::IRGC 11917-1::[IRIS 313-10660]	IRIS 313-10660	IRGC 128360	subtrop
ARC 6052::IRGC 12196-1::[IRIS 313-10664]	IRIS 313-10664	IRGC 127163	ind2
ARC 6218::IRGC 12255-1::[IRIS 313-10666]	IRIS 313-10666	IRGC 127164	indx
ARC 7236::IRGC 12335-1::[IRIS 313-10667]	IRIS 313-10667	IRGC 127168	ind2
ARC 10296::IRGC 12421-2::[IRIS 313-10670]	IRIS 313-10670	IRGC 132317	aro
ARC 10581::IRGC 12514-1::[IRIS 313-10671]	IRIS 313-10671	IRGC 127128	indx
ARC 10843::IRGC 12653-1::[IRIS 313-10673]	IRIS 313-10673	IRGC 127130	aus
PERIYA VELLAI::IRGC 15475-1::[IRIS 313-10717]	IRIS 313-10717	IRGC 127725	ind2
KARUTHA SEENATI::IRGC 15515-2::[IRIS 313-10718]	IRIS 313-10718	IRGC 128073	aus
BARKHE TAULI::IRGC 16116-1::[IRIS 313-10731]	IRIS 313-10731	IRGC 127212	ind1A
MADHUWA KARIA::IRGC 16138-2::[IRIS 313-10732]	IRIS 313-10732	IRGC 128102	aro
DEVARASI::IRGC 16173-1::[IRIS 313-10734]	IRIS 313-10734	IRGC 127315	aus
LAL SAR::IRGC 16185-1::[IRIS 313-10735]	IRIS 313-10735	IRGC 127546	aus
RERM BILASH::IRGC 16273-2::[IRIS 313-10736]	IRIS 313-10736	IRGC 128149	aus
GHAIYA::IRGC 16286-1::[IRIS 313-10737]	IRIS 313-10737	IRGC 128297	aus
GOGO RAJAPAN::IRGC 17666-2::[IRIS 313-10771]	IRIS 313-10771		trop
IKOGAN::IRGC 19412-1::[IRIS 313-10828]	IRIS 313-10828	IRGC 128319	trop
ARC 5756::IRGC 20220-2::[IRIS 313-10845]	IRIS 313-10845	IRGC 132418	aus
ARC 7001::IRGC 20436-1::[IRIS 313-10849]	IRIS 313-10849	IRGC 127166	aus
ARC 7263::IRGC 20570-2::[IRIS 313-10850]	IRIS 313-10850	IRGC 132244	admix
ARC 7336::IRGC 20606-1::[IRIS 313-10852]	IRIS 313-10852	IRGC 127169	aus
ARC 10145::IRGC 20744-1::[IRIS 313-10854]	IRIS 313-10854	IRGC 127127	aus
ARC 10825::IRGC 21082-1::[IRIS 313-10857]	IRIS 313-10857	IRGC 127129	admix
ARC 10939::IRGC 21150-2::[IRIS 313-10859]	IRIS 313-10859	IRGC 127933	indx
ARC 11276::IRGC 21278-1::[IRIS 313-10861]	IRIS 313-10861	IRGC 127134	aus
ARC 11281::IRGC 21283-1::[IRIS 313-10862]	IRIS 313-10862	IRGC 127135	japx
ARC 11571::IRGC 21487-2::[IRIS 313-10868]	IRIS 313-10868	IRGC 127939	aro
ARC 11751::IRGC 21614-1::[IRIS 313-10869]	IRIS 313-10869	IRGC 127138	aus
ARC 11777::IRGC 21639-1::[IRIS 313-10871]	IRIS 313-10871	IRGC 127139	aus
ARC 12021::IRGC 21837-1::[IRIS 313-10875]	IRIS 313-10875	IRGC 127141	aus
ARC 12067::IRGC 21881-1::[IRIS 313-10876]	IRIS 313-10876	IRGC 127142	aus
ARC 12079::IRGC 21888-1::[IRIS 313-10877]	IRIS 313-10877	IRGC 127143	aus
ARC 12101::IRGC 21907-1::[IRIS 313-10878]	IRIS 313-10878	IRGC 127144	aus
RANTE::IRGC 18608-2::[IRIS 313-10808]	IRIS 313-10808	IRGC 128147	trop
ARC 12180::IRGC 21965-2::[IRIS 313-10880]	IRIS 313-10880	IRGC 127940	ind2
ARC 12413::IRGC 22044-1::[IRIS 313-10881]	IRIS 313-10881	IRGC 128223	admix
ARC 12433::IRGC 22064-1::[IRIS 313-10882]	IRIS 313-10882	IRGC 127146	aus
ARC 12490::IRGC 22095-1::[IRIS 313-10883]	IRIS 313-10883	IRGC 128224	admix
ARC 12690::IRGC 22257-1::[IRIS 313-10887]	IRIS 313-10887	IRGC 127147	indx
ARC 12920::IRGC 22450-1::[IRIS 313-10892]	IRIS 313-10892	IRGC 127149	aus
MARECH S V R::IRGC 23011-2::[IRIS 313-10907]	IRIS 313-10907	IRGC 128105	ind3
R 258::IRGC 23702-2::[IRIS 313-10922]	IRIS 313-10922	IRGC 132264	subtrop
SUGA PANKHA::IRGC 24054-1::[IRIS 313-10927]	IRIS 313-10927	IRGC 127828	aus
PANKHIRAJ::IRGC 24139-1::[IRIS 313-10930]	IRIS 313-10930	IRGC 127714	aus
CHINA 1039 MUTANT (DWARF)::IRGC 24168-2::[IRIS 313-10932]	IRIS 313-10932	IRGC 128014	ind1A
DAMNOEUB POR HING::IRGC 22841-2::[IRIS 313-10900]	IRIS 313-10900	IRGC 132331	ind3
KATAKCHIKON::IRGC 25880-1::[IRIS 313-10963]	IRIS 313-10963	IRGC 127497	aus
TILOKCHAN (SONABETHI)::IRGC 25927-1::[IRIS 313-10965]	IRIS 313-10965	IRGC 127859	aus
INDIA DULAR (NO ORDEM 7)::IRGC 26070-1::[IRIS 313-10969]	IRIS 313-10969	IRGC 127430	aus
KOLA MUCHI::IRGC 26384-2::[IRIS 313-10975]	IRIS 313-10975		ind2
LAKHSMI DIGHA::IRGC 26390-2::[IRIS 313-10976]	IRIS 313-10976	IRGC 132348	aus
BORA DIGA::IRGC 26439-1::[IRIS 313-10979]	IRIS 313-10979		aus
JHUL DIGA::IRGC 26478-1::[IRIS 313-10981]	IRIS 313-10981	IRGC 127456	aus
GOBOL SAIL (BALAM)::IRGC 26624-2::[IRIS 313-10985]	IRIS 313-10985	IRGC 132424	ind2
HALDI JAON::IRGC 26638-2::[IRIS 313-10986]	IRIS 313-10986	IRGC 128048	ind2
SUNGA WALA::IRGC 26802-1::[IRIS 313-10987]	IRIS 313-10987		aus
BOTESWAR 2::IRGC 27536-1::[IRIS 313-11013]	IRIS 313-11013	IRGC 127236	aus
CHAKILA::IRGC 27540-1::[IRIS 313-11014]	IRIS 313-11014	IRGC 127253	aus
KACHILON::IRGC 27555-1::[IRIS 313-11016]	IRIS 313-11016	IRGC 128328	aus
LOROI::IRGC 27567-1::[IRIS 313-11017]	IRIS 313-11017	IRGC 128369	aus
MADISA::IRGC 27568-1::[IRIS 313-11018]	IRIS 313-11018	IRGC 127586	aus
PORANG::IRGC 27577-1::[IRIS 313-11019]	IRIS 313-11019	IRGC 128436	aus
BAMLA SUFFAID 320::IRGC 27776-1::[IRIS 313-11020]	IRIS 313-11020	IRGC 128236	aus
BARA PASHAWARI 390::IRGC 27779-1::[IRIS 313-11021]	IRIS 313-11021	IRGC 127210	aro
BASMATI SUFAID 100::IRGC 27791-1::[IRIS 313-11022]	IRIS 313-11022	IRGC 135737	aro
BASMATI SURKH 161::IRGC 27797-1::[IRIS 313-11023]	IRIS 313-11023	IRGC 127214	aro
BEGMI 135::IRGC 27845-1::[IRIS 313-11024]	IRIS 313-11024	IRGC 127217	aus
DHAN 263::IRGC 27926-2::[IRIS 313-11025]	IRIS 313-11025	IRGC 128030	aus
HANSRAJ::IRGC 27936-2::[IRIS 313-11026]	IRIS 313-11026	IRGC 132336	aro
JHONA 101::IRGC 27976-1::[IRIS 313-11027]	IRIS 313-11027	IRGC 127454	aus
MUSHKAN 340 A::IRGC 28073-1::[IRIS 313-11029]	IRIS 313-11029	IRGC 127641	aus
MUTANT 12-42::IRGC 28076-1::[IRIS 313-11030]	IRIS 313-11030		aro
RATRIO::IRGC 28181-1::[IRIS 313-11033]	IRIS 313-11033	IRGC 128448	admix
SANTHI 206::IRGC 28215-1::[IRIS 313-11034]	IRIS 313-11034	IRGC 127786	aus
ZIRA SHAHI::IRGC 28327-1::[IRIS 313-11035]	IRIS 313-11035	IRGC 128513	admix
GINATOS::IRGC 26876-1::[IRIS 313-10991]	IRIS 313-10991	IRGC 128298	trop
34::IRGC 28371-2::[IRIS 313-11036]	IRIS 313-11036	IRGC 127919	aus
421::IRGC 28458-1::[IRIS 313-11037]	IRIS 313-11037	IRGC 128211	aus
AI NAN TSAO 39::IRGC 28461-2::[IRIS 313-11038]	IRIS 313-11038	IRGC 127924	ind1A
POONGAR::IRGC 28611-1::[IRIS 313-11041]	IRIS 313-11041	IRGC 127738	ind2
ENGKABANG::IRGC 28694-2::[IRIS 313-11045]	IRIS 313-11045	IRGC 128039	trop
AUS 84::IRGC 28947-2::[IRIS 313-11047]	IRIS 313-11047	IRGC 127977	aus
AUS 171::IRGC 29004-1::[IRIS 313-11048]	IRIS 313-11048	IRGC 127178	aus
AUS 219::IRGC 29031-1::[IRIS 313-11049]	IRIS 313-11049	IRGC 127179	aus
AUS 233::IRGC 29036-1::[IRIS 313-11050]	IRIS 313-11050	IRGC 127180	aus
AUS 242::IRGC 29040-1::[IRIS 313-11051]	IRIS 313-11051	IRGC 127181	aus
AUS 278::IRGC 29068-1::[IRIS 313-11052]	IRIS 313-11052	IRGC 127182	aus
AUS 282::IRGC 29072-1::[IRIS 313-11053]	IRIS 313-11053	IRGC 127183	aus
AUS 295::IRGC 29083-1::[IRIS 313-11054]	IRIS 313-11054	IRGC 127184	aus
AUS 299::IRGC 29087-1::[IRIS 313-11055]	IRIS 313-11055	IRGC 127185	aus
AUS 301::IRGC 29089-1::[IRIS 313-11056]	IRIS 313-11056	IRGC 127186	aus
AUS 308::IRGC 29096-1::[IRIS 313-11057]	IRIS 313-11057	IRGC 127187	aus
AUS 329::IRGC 29116-1::[IRIS 313-11058]	IRIS 313-11058	IRGC 127188	aus
AUS 344::IRGC 29131-1::[IRIS 313-11059]	IRIS 313-11059	IRGC 127189	aus
AUS 359::IRGC 29146-2::[IRIS 313-11060]	IRIS 313-11060	IRGC 132322	aus
BEGUNBICHI 33::IRGC 29260-1::[IRIS 313-11062]	IRIS 313-11062	IRGC 127218	aro
BORO 275::IRGC 29294-2::[IRIS 313-11064]	IRIS 313-11064	IRGC 132306	aus
BORO 394::IRGC 29297-2::[IRIS 313-11065]	IRIS 313-11065	IRGC 132326	aus
GASMAL 339::IRGC 29333-1::[IRIS 313-11066]	IRIS 313-11066	IRGC 127381	admix
PANKAIT 31::IRGC 29377-1::[IRIS 313-11068]	IRIS 313-11068	IRGC 128426	aro
TUPA 15-3::IRGC 29416-2::[IRIS 313-11069]	IRIS 313-11069	IRGC 128197	aro
TUPA::IRGC 29432-1::[IRIS 313-11070]	IRIS 313-11070	IRGC 127239	admix
MAK BOUAP::IRGC 30106-3::[IRIS 313-11094]	IRIS 313-11094	IRGC 132274	subtrop
EA DAM HANG DOK::IRGC 29698-2::[IRIS 313-11082]	IRIS 313-11082	IRGC 128036	ind3
SAITA::IRGC 31618-1::[IRIS 313-11111]	IRIS 313-11111	IRGC 127778	aus
HIJOL DIGA::IRGC 31655-1::[IRIS 313-11112]	IRIS 313-11112	IRGC 128308	aus
KORTIK KAIKA::IRGC 31841-1::[IRIS 313-11116]	IRIS 313-11116	IRGC 127532	aus
KAYELI KUNING::IRGC 31974-1::[IRIS 313-11117]	IRIS 313-11117	IRGC 127502	trop
IR 1813-694-2::IRGC 32656-2::[IRIS 313-11122]	IRIS 313-11122	IRGC 128059	ind1B
BAZAIL 975::IRGC 32816-2::[IRIS 313-11123]	IRIS 313-11123	IRGC 127990	aus
NWACHI MANINE::IRGC 33531-2::[IRIS 313-11139]	IRIS 313-11139	IRGC 128120	indx
ZEINGYI::IRGC 33923-2::[IRIS 313-11150]	IRIS 313-11150	IRGC 128206	ind3
DHARIAL::IRGC 34034-1::[IRIS 313-11154]	IRIS 313-11154	IRGC 127318	aus
KHUDWANI ACC 202::IRGC 34154-1::[IRIS 313-11156]	IRIS 313-11156	IRGC 127522	japx
BENA JHUPI::IRGC 34850-2::[IRIS 313-11165]	IRIS 313-11165	IRGC 127993	aus
BHUT MURI::IRGC 34861-1::[IRIS 313-11166]	IRIS 313-11166	IRGC 127224	aus
KANAI BASHI::IRGC 34967-1::[IRIS 313-11169]	IRIS 313-11169	IRGC 131997	aus
LAL TAURA::IRGC 35017-1::[IRIS 313-11170]	IRIS 313-11170	IRGC 127547	aus
RANI BHOG::IRGC 35109-1::[IRIS 313-11172]	IRIS 313-11172	IRGC 127762	aus
SADA AUS::IRGC 35117-1::[IRIS 313-11173]	IRIS 313-11173	IRGC 127776	aus
PAIZ AMBARBU::IRGC 36179-1::[IRIS 313-11189]	IRIS 313-11189	IRGC 128424	admix
RANRUWAN::IRGC 36360-1::[IRIS 313-11191]	IRIS 313-11191	IRGC 127763	aus
SONA AUS::IRGC 35160-1::[IRIS 313-11175]	IRIS 313-11175	IRGC 127821	aus
KARTIKHAMA::IRGC 37149-2::[IRIS 313-11204]	IRIS 313-11204	IRGC 128072	indx
KUMRI::IRGC 37182-2::[IRIS 313-11206]	IRIS 313-11206	IRGC 128092	indx
PAIRJAT::IRGC 37252-2::[IRIS 313-11207]	IRIS 313-11207	IRGC 128126	ind2
ZARBASAIL::IRGC 37346-1::[IRIS 313-11210]	IRIS 313-11210	IRGC 127911	aus
NARIKEL BADI::IRGC 37550-1::[IRIS 313-11213]	IRIS 313-11213	IRGC 127648	aus
SHITTA AMAN::IRGC 37596-1::[IRIS 313-11214]	IRIS 313-11214	IRGC 127799	aus
KHAMA 1183::IRGC 37685-2::[IRIS 313-11216]	IRIS 313-11216	IRGC 128082	aus
BADSHABHOG 4-60::IRGC 37793-2::[IRIS 313-11218]	IRIS 313-11218	IRGC 127982	aro
R 146::IRGC 38606-1::[IRIS 313-11232]	IRIS 313-11232	IRGC 128442	aus
ARC 14150::IRGC 41435-2::[IRIS 313-11265]	IRIS 313-11265	IRGC 132242	aus
ARC 15063::IRGC 41909-2::[IRIS 313-11276]	IRIS 313-11276	IRGC 132319	indx
ARC 15129::IRGC 41938-1::[IRIS 313-11277]	IRIS 313-11277	IRGC 127157	aus
ARC 14358::IRGC 41523-2::[IRIS 313-11267]	IRIS 313-11267	IRGC 127956	ind2
ARC 18064::IRGC 42237-1::[IRIS 313-11285]	IRIS 313-11285		ind2
ARC 18325::IRGC 42399-1::[IRIS 313-11286]	IRIS 313-11286	IRGC 135736	indx
ARC 7425::IRGC 42538-1::[IRIS 313-11291]	IRIS 313-11291	IRGC 127170	aus
ARC 14398::IRGC 41544-2::[IRIS 313-11268]	IRIS 313-11268	IRGC 127957	aro
ARC 11397::IRGC 42664-1::[IRIS 313-11295]	IRIS 313-11295	IRGC 127137	admix
ARC 12800::IRGC 42720-2::[IRIS 313-11296]	IRIS 313-11296	IRGC 127945	indx
ARC 13544::IRGC 42743-1::[IRIS 313-11298]	IRIS 313-11298	IRGC 127152	aus
ARC 14709::IRGC 42976-2::[IRIS 313-11300]	IRIS 313-11300	IRGC 127960	ind2
ARC 15163::IRGC 43106-1::[IRIS 313-11304]	IRIS 313-11304	IRGC 127158	indx
ARC 14632::IRGC 41650-2::[IRIS 313-11269]	IRIS 313-11269	IRGC 127958	indx
ARC 15862::IRGC 43242-1::[IRIS 313-11309]	IRIS 313-11309	IRGC 128229	indx
JHORA::IRGC 43862-1::[IRIS 313-11323]	IRIS 313-11323	IRGC 127455	aus
KALABOKRI::IRGC 43872-1::[IRIS 313-11324]	IRIS 313-11324	IRGC 127477	aus
PADI BURIH::IRGC 44081-1::[IRIS 313-11328]	IRIS 313-11328	IRGC 127699	trop
